state,district,pincode,Year,Month,age_0_5,age_5_17,age_18_greater,Total_Enrollment,bio_age_5_17,bio_age_17_,Biometric_Updates,demo_age_5_17,demo_age_17_,Demographic_Updates,Total_Updates,Service_Desert_Score,Female_Updates,Male_Updates,GUP_Index,Update_Gap,Vulnerability_Index,Is_Anomaly,Auth_Failure_Rate
Uttar Pradesh,Bulandshahr,203394,2025,4,0.0,0.0,0.0,0.0,19.0,15.0,34.0,0.0,0.0,0.0,34.0,0.0,13,21.0,0.5909090909090909,0.0,0.0,0,4.834367932140808
Karnataka,Bidar,585421,2025,4,0.0,0.0,0.0,0.0,107.0,164.0,271.0,0.0,0.0,0.0,271.0,0.0,124,147.0,0.8378378378378378,0.0,0.0,0,3.247547208955055
Odisha,Mayurbhanj,757040,2025,12,12.0,3.0,0.0,15.0,159.0,110.0,269.0,33.0,194.0,227.0,496.0,0.0301810865191146,260,236.0,1.0970464135021096,0.0,0.03515625,0,4.447813447344705
Karnataka,Mandya,571416,2025,7,0.0,0.0,0.0,0.0,93.0,91.0,184.0,0.0,0.0,0.0,184.0,0.0,89,95.0,0.9270833333333334,0.0,0.0,0,4.380362292808415
Karnataka,Belagavi,591143,2025,10,6.0,0.0,0.0,6.0,18.0,18.0,36.0,9.0,31.0,40.0,76.0,0.0779220779220779,42,34.0,1.2,0.0,0.108433734939759,0,3.673259762052623
Kerala,Thrissur,680510,2025,9,6.0,9.0,0.0,15.0,28.0,20.0,48.0,8.0,52.0,60.0,108.0,0.1376146788990825,52,56.0,0.912280701754386,0.0,0.0725806451612903,0,3.914971446543872
Himachal Pradesh,Kangra,177105,2025,5,0.0,0.0,0.0,0.0,15.0,27.0,42.0,0.0,0.0,0.0,42.0,0.0,17,25.0,0.6538461538461539,0.0,0.0,0,3.058164959033075
Odisha,Sundargarh,770021,2025,5,0.0,0.0,0.0,0.0,12.0,16.0,28.0,0.0,0.0,0.0,28.0,0.0,13,15.0,0.8125,0.0,0.0,0,2.321074391933727
Bihar,Arwal,804418,2025,12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.2,0.0,0,4.194493595503456
Odisha,Anugul,759105,2025,9,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,5.0,5.0,8.0,0.0,4,4.0,0.8,0.0,0.0,0,4.0759199205344245
Tamil Nadu,The Nilgiris,643224,2025,10,2.0,2.0,0.0,4.0,26.0,15.0,41.0,2.0,11.0,13.0,54.0,0.0727272727272727,25,29.0,0.8333333333333334,0.0,0.0508474576271186,0,4.809762988924284
Odisha,Boudh,762018,2025,3,0.0,0.0,0.0,0.0,73.0,117.0,190.0,10.0,98.0,108.0,298.0,0.0,135,163.0,0.823170731707317,0.0,0.0,0,4.000627053410742
Madhya Pradesh,Chhindwara,480553,2025,5,0.0,0.0,0.0,0.0,31.0,27.0,58.0,0.0,0.0,0.0,58.0,0.0,31,27.0,1.1071428571428572,0.0,0.0,0,4.8935670187350695
Gujarat,Kheda,387610,2025,10,13.0,1.0,0.0,14.0,6.0,41.0,47.0,11.0,67.0,78.0,125.0,0.1111111111111111,62,63.0,0.96875,0.0,0.1392857142857143,0,2.6423744536340665
Himachal Pradesh,Solan,173222,2025,12,0.0,0.0,0.0,0.0,4.0,5.0,9.0,0.0,9.0,9.0,18.0,0.0,9,9.0,0.9,0.0,0.0,0,4.475642197517574
Karnataka,Bangalore,560028,2025,7,0.0,0.0,0.0,0.0,13.0,89.0,102.0,0.0,0.0,0.0,102.0,0.0,48,54.0,0.8727272727272727,0.0,0.0,0,3.936578859113281
Kerala,Kollam,690524,2025,4,0.0,0.0,0.0,0.0,70.0,84.0,154.0,0.0,0.0,0.0,154.0,0.0,75,79.0,0.9375,0.0,0.0,0,4.34855821474809
Madhya Pradesh,Indore,452007,2025,3,0.0,0.0,0.0,0.0,263.0,274.0,537.0,99.0,472.0,571.0,1108.0,0.0,471,637.0,0.7382445141065831,0.0,0.0,0,3.5323776464265357
Karnataka,Bagalkot,587119,2025,11,48.0,3.0,0.0,51.0,76.0,69.0,145.0,22.0,169.0,191.0,336.0,0.1513353115727003,147,189.0,0.7736842105263158,0.0,0.1855670103092783,0,2.8096279200730843
Tamil Nadu,Thoothukkudi,628901,2025,7,0.0,0.0,0.0,0.0,20.0,105.0,125.0,0.0,0.0,0.0,125.0,0.0,74,51.0,1.4230769230769231,0.0,0.0,0,4.446997060625806
Tamil Nadu,Vellore,632604,2025,11,2.0,0.0,0.0,2.0,6.0,3.0,9.0,1.0,8.0,9.0,18.0,0.1052631578947368,9,9.0,0.9,0.0,0.1428571428571428,0,4.074203018404916
Andhra Pradesh,Rangareddi,500051,2025,9,1.0,0.0,0.0,1.0,1.0,7.0,8.0,0.0,5.0,5.0,13.0,0.0714285714285714,6,7.0,0.75,0.0,0.1,0,4.684216672768944
Gujarat,Junagadh,362315,2025,3,0.0,0.0,0.0,0.0,13.0,19.0,32.0,0.0,0.0,0.0,32.0,0.0,16,16.0,0.9411764705882352,0.0,0.0,0,2.8540291325301226
Madhya Pradesh,East Nimar,450119,2025,9,1.0,0.0,0.0,1.0,8.0,10.0,18.0,0.0,4.0,4.0,22.0,0.0434782608695652,9,13.0,0.6428571428571429,0.0,0.0625,0,4.474472946280145
Andhra Pradesh,Guntur,522329,2025,9,9.0,1.0,0.0,10.0,16.0,27.0,43.0,6.0,74.0,80.0,123.0,0.0806451612903225,51,72.0,0.6986301369863014,0.0,0.1007462686567164,0,3.3191931471810823
Tripura,West Tripura,799181,2025,4,0.0,0.0,0.0,0.0,142.0,275.0,417.0,0.0,0.0,0.0,417.0,0.0,190,227.0,0.8333333333333334,0.0,0.0,0,4.786582674062744
Maharashtra,Ahmadnagar,414701,2025,6,0.0,0.0,0.0,0.0,160.0,340.0,500.0,0.0,0.0,0.0,500.0,0.0,245,255.0,0.95703125,0.0,0.0,0,2.2326479559458523
Uttar Pradesh,Allahabad,212106,2025,4,0.0,0.0,0.0,0.0,1160.0,328.0,1488.0,0.0,0.0,0.0,1488.0,0.0,860,628.0,1.3672496025437202,0.0,0.0,0,2.516622254611792
Kerala,Kozhikode,673501,2025,9,9.0,5.0,0.0,14.0,37.0,47.0,84.0,7.0,62.0,69.0,153.0,0.0909090909090909,70,83.0,0.8333333333333334,0.0,0.0803571428571428,0,2.630074883996895
Uttar Pradesh,Varanasi,221109,2025,6,0.0,0.0,0.0,0.0,45.0,148.0,193.0,0.0,0.0,0.0,193.0,0.0,82,111.0,0.7321428571428571,0.0,0.0,0,4.464615221585635
Karnataka,Belagavi,591101,2025,12,21.0,0.0,0.0,21.0,118.0,38.0,156.0,23.0,87.0,110.0,266.0,0.0786516853932584,115,151.0,0.756578947368421,0.0,0.109375,0,2.103219869469851
Tamil Nadu,Kanniyakumari,629703,2025,3,0.0,0.0,0.0,0.0,20.0,49.0,69.0,12.0,90.0,102.0,171.0,0.0,75,96.0,0.7731958762886598,0.0,0.0,0,2.250854348083338
Tamil Nadu,Dharmapuri,636705,2025,11,35.0,1.0,0.0,36.0,216.0,58.0,274.0,39.0,122.0,161.0,435.0,0.0825688073394495,166,269.0,0.6148148148148148,0.0,0.111228813559322,0,3.7323448757379145
Tamil Nadu,Tiruvallur,600071,2025,3,0.0,0.0,0.0,0.0,307.0,380.0,687.0,220.0,1232.0,1452.0,2139.0,0.0,904,1235.0,0.7313915857605178,0.0,0.0,0,2.797406378191256
Tamil Nadu,Thiruvallur,600050,2025,9,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,1.0,1.0,9.0,0.0,4,5.0,0.6666666666666666,0.0,0.0,0,3.920584490045792
Telangana,Nalgonda,508277,2025,7,0.0,0.0,0.0,0.0,201.0,132.0,333.0,0.0,0.0,0.0,333.0,0.0,134,199.0,0.67,0.0,0.0,0,4.619549050453925
Andhra Pradesh,Hyderabad,500072,2025,12,10.0,1.0,0.0,11.0,113.0,299.0,412.0,28.0,268.0,296.0,708.0,0.0155148095909732,334,374.0,0.8906666666666667,0.0,0.0208333333333333,0,3.852744882293091
Assam,Sonitpur,784110,2025,12,46.0,32.0,0.0,78.0,232.0,165.0,397.0,77.0,1047.0,1124.0,1521.0,0.0512483574244415,703,818.0,0.8583638583638583,0.0,0.043125,0,4.768247129522941
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533262,2025,11,9.0,1.0,0.0,10.0,83.0,14.0,97.0,24.0,118.0,142.0,239.0,0.0416666666666666,127,112.0,1.1238938053097345,0.0,0.054,0,2.098406745147229
Andhra Pradesh,Guntur,522317,2025,3,0.0,0.0,0.0,0.0,27.0,13.0,40.0,0.0,0.0,0.0,40.0,0.0,18,22.0,0.782608695652174,0.0,0.0,0,2.151280859333053
Uttarakhand,Dehradun,248011,2025,11,2.0,1.0,0.0,3.0,10.0,11.0,21.0,1.0,33.0,34.0,55.0,0.0535714285714285,23,32.0,0.696969696969697,0.0,0.0508474576271186,0,3.913060445469414
Rajasthan,Kota,325004,2025,3,0.0,0.0,0.0,0.0,122.0,248.0,370.0,120.0,3724.0,3844.0,4214.0,0.0,2317,1897.0,1.2207586933614332,0.0,0.0,0,3.6506018466566026
Rajasthan,Chittaurgarh,323305,2025,9,3.0,0.0,0.0,3.0,6.0,5.0,11.0,0.0,10.0,10.0,21.0,0.1363636363636363,9,12.0,0.6923076923076923,0.0,0.18,0,4.531447167282933
Tamil Nadu,Kanyakumari,629201,2025,10,2.0,0.0,0.0,2.0,22.0,11.0,33.0,2.0,29.0,31.0,64.0,0.0307692307692307,33,31.0,1.03125,0.0,0.044776119402985,0,3.286678628375609
Jammu And Kashmir,Kathua,184104,2025,5,0.0,0.0,0.0,0.0,122.0,101.0,223.0,0.0,0.0,0.0,223.0,0.0,99,124.0,0.792,0.0,0.0,0,4.198858221531997
Bihar,Sheikhpura,811102,2025,6,0.0,0.0,0.0,0.0,62.0,93.0,155.0,0.0,0.0,0.0,155.0,0.0,78,77.0,1.0,0.0,0.0,0,2.0408854504136915
Maharashtra,Dharashiv,413623,2025,9,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,21.0,22.0,24.0,0.04,10,14.0,0.6666666666666666,0.0,0.0,0,2.376289008339421
Karnataka,Bellary,583203,2025,12,2.0,0.0,0.0,2.0,5.0,3.0,8.0,0.0,3.0,3.0,11.0,0.1666666666666666,5,6.0,0.7142857142857143,0.0,0.2142857142857142,0,3.9049179565352414
Chhattisgarh,Korba,495445,2025,7,0.0,0.0,0.0,0.0,669.0,2082.0,2751.0,337.0,2949.0,3286.0,6037.0,0.0,3175,2862.0,1.108976597974153,0.0,0.0,0,4.6885671375809
Maharashtra,Solapur,413001,2025,9,66.0,42.0,1.0,109.0,757.0,401.0,1158.0,29.0,264.0,293.0,1451.0,0.0750688705234159,575,876.0,0.6556442417331813,0.0,0.0641896220371556,0,2.41774582707146
Maharashtra,Nandurbar,425452,2025,4,0.0,0.0,0.0,0.0,576.0,1023.0,1599.0,0.0,0.0,0.0,1599.0,0.0,729,870.0,0.8369690011481056,0.0,0.0,0,4.918058000840148
Andhra Pradesh,Mahabub Nagar,509406,2025,6,0.0,0.0,0.0,0.0,16.0,28.0,44.0,0.0,0.0,0.0,44.0,0.0,17,27.0,0.6071428571428571,0.0,0.0,0,3.4483872284673565
Andhra Pradesh,Krishna,521211,2025,7,0.0,0.0,0.0,0.0,83.0,120.0,203.0,0.0,0.0,0.0,203.0,0.0,105,98.0,1.0606060606060606,0.0,0.0,0,2.3264540435455494
